"","Posterior.mean.Species","Posterior.mean..Intercept.","Posterior.mean.Altitude","Posterior.mean.LithologyAlluvial","Posterior.mean.LithologyMarl","Posterior.mean.LithologyMetamorphic","Posterior.mean.TypeTL","Posterior.mean.TypeSB","Posterior.mean.TypeNV","Posterior.mean.Age","Posterior.mean.Ext.SB1","Posterior.mean.Ext.NV1","Posterior.mean.Legacy1","Pr.x.0..Species","Pr.x.0...Intercept.","Pr.x.0..Altitude","Pr.x.0..LithologyAlluvial","Pr.x.0..LithologyMarl","Pr.x.0..LithologyMetamorphic","Pr.x.0..TypeTL","Pr.x.0..TypeSB","Pr.x.0..TypeNV","Pr.x.0..Age","Pr.x.0..Ext.SB1","Pr.x.0..Ext.NV1","Pr.x.0..Legacy1","Pr.x.0..Species.1","Pr.x.0...Intercept..1","Pr.x.0..Altitude.1","Pr.x.0..LithologyAlluvial.1","Pr.x.0..LithologyMarl.1","Pr.x.0..LithologyMetamorphic.1","Pr.x.0..TypeTL.1","Pr.x.0..TypeSB.1","Pr.x.0..TypeNV.1","Pr.x.0..Age.1","Pr.x.0..Ext.SB1.1","Pr.x.0..Ext.NV1.1","Pr.x.0..Legacy1.1"
"AspAcu","AspAcu",-2.54875557945156,0.000107049568427262,-0.251438620391772,-1.26891321336615,0.780502893043976,0.969953532423335,0.124130872353015,0.233696899124346,0.0291034299011851,0.0229380069632945,-0.00563533762608324,-0.237332357881163,"AspAcu",0,0.592,0.27,0.0025,0.985,0.9975,0.643,0.765,0.9975,0.527,0.512,0.2525,"AspAcu",1,0.408,0.73,0.9975,0.015,0.0025,0.357,0.235,0.0025,0.473,0.488,0.7475
"AspAlb","AspAlb",-2.40552241931746,-0.00344677936456161,-0.671318652761401,-2.08722979048811,0.82188613022605,0.19004198718316,0.530021587423387,-0.577569980206521,0.0158609191988303,1.28103627977718,0.58920586394928,0.104709132846518,"AspAlb",0.0065,5e-04,0.133,0.0015,0.9285,0.6435,0.924,0.091,0.788,0.9845,0.858,0.602,"AspAlb",0.9935,0.9995,0.867,0.9985,0.0715,0.3565,0.076,0.909,0.212,0.0155,0.142,0.398
"AspHor","AspHor",-0.426177594744941,-0.00250753040264438,0.125962514961541,-0.117357094318874,0.389415416440661,0.539315733522308,0.477905464229863,0.687521912804489,-0.000633238493388102,0.757132179191506,0.627075648684825,-0.228459120208255,"AspHor",0.152,0,0.6695,0.3385,0.925,0.9665,0.983,0.9975,0.478,1,0.996,0.143,"AspHor",0.848,1,0.3305,0.6615,0.075,0.0335,0.017,0.0025,0.522,0,0.004,0.857
"DapGni","DapGni",-5.17370062240883,0.00299030809496625,-1.10951992859881,-0.94404416902873,-0.542956464863912,0.637308335182899,0.291019252237881,0.585534434285487,0.0105397084290439,0.726247960564216,0.356952611048471,1.05496149775636,"DapGni",0,0.9995,0.035,0.029,0.2005,0.9555,0.7835,0.9585,0.7315,0.949,0.8095,0.9895,"DapGni",1,5e-04,0.965,0.971,0.7995,0.0445,0.2165,0.0415,0.2685,0.051,0.1905,0.0105
"EphFra","EphFra",-4.45235879080335,-0.000168407688809233,0.0471760013244284,-0.509819671028288,0.257055323618976,0.743667043407074,0.482184533783844,0.441964895586028,0.0258821196912718,0.82174237929143,0.178374086204677,1.06796943955901,"EphFra",0,0.3975,0.581,0.2195,0.699,0.963,0.8705,0.8325,0.9295,0.9295,0.6665,0.948,"EphFra",1,0.6025,0.419,0.7805,0.301,0.037,0.1295,0.1675,0.0705,0.0705,0.3335,0.052
"JunOxy","JunOxy",-6.19990809155302,0.00481339180267046,-0.217475713061006,-1.12989745266511,-1.1357412284818,0.59375761631083,0.250336124058072,0.679107235500278,0.020775987701276,0.766547294731409,0.721645637338978,0.529785720459105,"JunOxy",0,1,0.326,0.005,0.031,0.943,0.774,0.974,0.9205,0.983,0.9725,0.9195,"JunOxy",1,0,0.674,0.995,0.969,0.057,0.226,0.026,0.0795,0.017,0.0275,0.0805
"JunPho","JunPho",-9.55162077640673,0.00713606012378058,-2.53981119366483,-1.58697940371296,-3.99500541060667,1.33027235053854,-0.740979590765153,0.764766584700646,0.0782009683881238,1.12271320223295,0.0337701133234434,0.123064482540035,"JunPho",0,1,0,0.001,0,0.978,0.0555,0.9575,1,0.989,0.53,0.5855,"JunPho",1,0,1,0.999,1,0.022,0.9445,0.0425,0,0.011,0.47,0.4145
"OleEur","OleEur",-2.21496984929615,-0.00129994473017543,-0.714053099505178,-0.665733731893125,0.303418248540998,0.810077213421461,0.390838791335298,0.758136319121763,0.00914033338654152,0.733441615026503,-0.0445236588452542,0.358405048312753,"OleEur",0.001,0.0235,0.073,0.084,0.735,0.9775,0.854,0.9785,0.7335,0.9755,0.4655,0.8485,"OleEur",0.999,0.9765,0.927,0.916,0.265,0.0225,0.146,0.0215,0.2665,0.0245,0.5345,0.1515
"PisLen","PisLen",-2.68510467559998,-0.000600457749196865,-0.399092705236726,-1.39833992865345,-0.926970077730214,0.649368974950526,0.0265119797016921,0.427112022541553,0.00841924108849276,0.7190313480302,0.763246942979023,0.449010315681251,"PisLen",0,0.175,0.172,0.001,0.0505,0.957,0.5505,0.9075,0.707,0.97,0.9735,0.896,"PisLen",1,0.825,0.828,0.999,0.9495,0.043,0.4495,0.0925,0.293,0.03,0.0265,0.104
"RhaLyc","RhaLyc",-1.76073174146731,-0.0018505880821427,-0.717710260051814,-0.919533178232962,-0.104117451851481,0.871534363185592,0.67921991785554,1.21851735226861,0.011206542520619,0.51895836218599,0.963371916900813,0.784883089799922,"RhaLyc",0.003,0.001,0.06,0.0145,0.3945,0.998,0.9955,1,0.783,0.919,0.9955,0.9885,"RhaLyc",0.997,0.999,0.94,0.9855,0.6055,0.002,0.0045,0,0.217,0.081,0.0045,0.0115
"RosSp","RosSp",-8.35987928252455,0.00447591037962809,-0.468413897707734,0.763041796850393,0.521214647805536,0.391341495776312,0.690692592370901,0.929231653396497,0.0368898072251332,0.726858439447016,-0.118995392376069,0.465555608250095,"RosSp",0,1,0.1985,0.9565,0.7625,0.7375,0.9325,0.976,0.978,0.914,0.3945,0.7835,"RosSp",1,0,0.8015,0.0435,0.2375,0.2625,0.0675,0.024,0.022,0.086,0.6055,0.2165
"RubPer","RubPer",-2.62563876296155,-0.000436126490323054,-0.639540692351357,-0.259538926999552,-0.308600309431351,0.639433521212426,0.58042596918067,0.448326341240973,-0.0125045883881019,0.727903562172783,0.707402897900367,0.0584033148054199,"RubPer",0,0.1935,0.093,0.2695,0.263,0.932,0.963,0.906,0.29,0.977,0.9655,0.5655,"RubPer",1,0.8065,0.907,0.7305,0.737,0.068,0.037,0.094,0.71,0.023,0.0345,0.4345
