"","Posterior.mean.","Posterior.mean.AspAcu","Posterior.mean.AspAlb","Posterior.mean.AspHor","Posterior.mean.DapGni","Posterior.mean.EphFra","Posterior.mean.JunOxy","Posterior.mean.JunPho","Posterior.mean.OleEur","Posterior.mean.PisLen","Posterior.mean.RhaLyc","Posterior.mean.RosSp","Posterior.mean.RubPer","Pr.x.0..","Pr.x.0..AspAcu","Pr.x.0..AspAlb","Pr.x.0..AspHor","Pr.x.0..DapGni","Pr.x.0..EphFra","Pr.x.0..JunOxy","Pr.x.0..JunPho","Pr.x.0..OleEur","Pr.x.0..PisLen","Pr.x.0..RhaLyc","Pr.x.0..RosSp","Pr.x.0..RubPer","Pr.x.0...1","Pr.x.0..AspAcu.1","Pr.x.0..AspAlb.1","Pr.x.0..AspHor.1","Pr.x.0..DapGni.1","Pr.x.0..EphFra.1","Pr.x.0..JunOxy.1","Pr.x.0..JunPho.1","Pr.x.0..OleEur.1","Pr.x.0..PisLen.1","Pr.x.0..RhaLyc.1","Pr.x.0..RosSp.1","Pr.x.0..RubPer.1"
"AspAcu","AspAcu",1,0.277472614962371,0.0253303544829914,0.983548900722839,0.421759131171869,0.984115365628333,0.902796940179535,0.986358649115709,0.986331846189839,0.985894581720282,-0.398932963431346,0.986120185305028,"AspAcu",1,0.656,0.527,1,0.8055,1,0.9635,1,1,1,0.2935,1,"AspAcu",0,0.344,0.473,0,0.1945,0,0.0365,0,0,0,0.7065,0
"AspAlb","AspAlb",0.277472614962371,1,-0.00369543566308352,0.305048154201523,0.063096003531334,0.312467987892817,0.279736150540035,0.306065391686082,0.298463885078373,0.305455065728459,-0.121275456253967,0.308913621209001,"AspAlb",0.656,1,0.4965,0.708,0.5775,0.7175,0.686,0.6985,0.667,0.6965,0.4175,0.704,"AspAlb",0.344,0,0.5035,0.292,0.4225,0.2825,0.314,0.3015,0.333,0.3035,0.5825,0.296
"AspHor","AspHor",0.0253303544829914,-0.00369543566308353,1,0.0119719201731813,-0.013626230705308,0.0188326192447916,0.0207424629803532,0.0195099433724546,0.0204773756703934,0.0223887128253452,-0.0136656724255844,0.0197458465117848,"AspHor",0.527,0.4965,1,0.5185,0.512,0.5285,0.521,0.525,0.5255,0.5295,0.489,0.525,"AspHor",0.473,0.5035,0,0.4815,0.488,0.4715,0.479,0.475,0.4745,0.4705,0.511,0.475
"DapGni","DapGni",0.983548900722839,0.305048154201523,0.0119719201731813,1,0.426272013289187,0.992714233290199,0.91121383409505,0.993930730202858,0.993828299144757,0.993591230246424,-0.401586052552685,0.994242504493591,"DapGni",1,0.708,0.5185,1,0.8175,1,0.9645,1,1,1,0.2935,1,"DapGni",0,0.292,0.4815,0,0.1825,0,0.0355,0,0,0,0.7065,0
"EphFra","EphFra",0.421759131171869,0.063096003531334,-0.013626230705308,0.426272013289187,1,0.411856798849707,0.384686387019505,0.423828699117895,0.42666523089156,0.419268145620346,-0.18974886481302,0.423929921910277,"EphFra",0.8055,0.5775,0.512,0.8175,1,0.77,0.7475,0.7975,0.804,0.784,0.3965,0.799,"EphFra",0.1945,0.4225,0.488,0.1825,0,0.23,0.2525,0.2025,0.196,0.216,0.6035,0.201
"JunOxy","JunOxy",0.984115365628333,0.312467987892817,0.0188326192447916,0.992714233290199,0.411856798849707,1,0.911258988639127,0.995772709843429,0.995127102520164,0.995717853319888,-0.402693195697671,0.995922979947463,"JunOxy",1,0.7175,0.5285,1,0.77,1,0.9635,1,1,1,0.2955,1,"JunOxy",0,0.2825,0.4715,0,0.23,0,0.0365,0,0,0,0.7045,0
"JunPho","JunPho",0.902796940179535,0.279736150540035,0.0207424629803532,0.91121383409505,0.384686387019505,0.911258988639127,1,0.912930389797151,0.912261134007013,0.912358051251294,-0.355352206428666,0.912645523277179,"JunPho",0.9635,0.686,0.521,0.9645,0.7475,0.9635,1,0.963,0.9635,0.9635,0.315,0.9635,"JunPho",0.0365,0.314,0.479,0.0355,0.2525,0.0365,0,0.037,0.0365,0.0365,0.685,0.0365
"OleEur","OleEur",0.986358649115709,0.306065391686082,0.0195099433724546,0.993930730202858,0.423828699117895,0.995772709843429,0.912930389797151,1,0.99718338851696,0.997034624965722,-0.404596214182097,0.997479449787257,"OleEur",1,0.6985,0.525,1,0.7975,1,0.963,1,1,1,0.294,1,"OleEur",0,0.3015,0.475,0,0.2025,0,0.037,0,0,0,0.706,0
"PisLen","PisLen",0.986331846189839,0.298463885078373,0.0204773756703934,0.993828299144757,0.42666523089156,0.995127102520164,0.912261134007013,0.99718338851696,1,0.996596774794145,-0.405079237702782,0.996915369455864,"PisLen",1,0.667,0.5255,1,0.804,1,0.9635,1,1,1,0.292,1,"PisLen",0,0.333,0.4745,0,0.196,0,0.0365,0,0,0,0.708,0
"RhaLyc","RhaLyc",0.985894581720282,0.305455065728459,0.0223887128253452,0.993591230246424,0.419268145620346,0.995717853319888,0.912358051251294,0.997034624965722,0.996596774794145,1,-0.404530964501075,0.996994748840878,"RhaLyc",1,0.6965,0.5295,1,0.784,1,0.9635,1,1,1,0.2925,1,"RhaLyc",0,0.3035,0.4705,0,0.216,0,0.0365,0,0,0,0.7075,0
"RosSp","RosSp",-0.398932963431346,-0.121275456253967,-0.0136656724255844,-0.401586052552685,-0.18974886481302,-0.402693195697671,-0.355352206428666,-0.404596214182097,-0.405079237702782,-0.404530964501075,1,-0.404998304771797,"RosSp",0.2935,0.4175,0.489,0.2935,0.3965,0.2955,0.315,0.294,0.292,0.2925,1,0.293,"RosSp",0.7065,0.5825,0.511,0.7065,0.6035,0.7045,0.685,0.706,0.708,0.7075,0,0.707
"RubPer","RubPer",0.986120185305028,0.308913621209001,0.0197458465117848,0.994242504493591,0.423929921910277,0.995922979947463,0.912645523277179,0.997479449787257,0.996915369455864,0.996994748840878,-0.404998304771797,1,"RubPer",1,0.704,0.525,1,0.799,1,0.9635,1,1,1,0.293,1,"RubPer",0,0.296,0.475,0,0.201,0,0.0365,0,0,0,0.707,0
